,Unnamed: 0,Distance,Sector,MBP,Image Path,NEW_MBP
1433,34916,80.39900496896712,20,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14930.tiff,8
1434,35003,80.50465825031493,20,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14352.tiff,8
1435,35004,80.50465825031493,20,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14060.tiff,8
1521,38334,85.15867542417507,20,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14796.tiff,8
1522,38335,85.15867542417507,20,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14259.tiff,8
1523,38441,85.37564055396598,20,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14707.tiff,8
1524,38550,85.47514258543241,20,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14050.tiff,8
1525,38551,85.47514258543241,20,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14472.tiff,8
1526,38552,85.47514258543241,20,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14215.tiff,8
1527,38604,85.58621384311844,20,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14757.tiff,8
1528,38716,85.70880934886448,20,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14097.tiff,8
1529,38717,85.70880934886448,20,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14276.tiff,8
1530,38718,85.70880934886448,20,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14765.tiff,8
1531,38719,85.70880934886448,20,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14181.tiff,8
1555,38360,85.21150157109074,19,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14834.tiff,8
1556,38414,85.28774824088158,19,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14004.tiff,8
1557,38415,85.28774824088158,19,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14311.tiff,8
1558,38874,86.0,19,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14595.tiff,8
1559,38875,86.0,19,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14181.tiff,8
1560,38876,86.0,19,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14377.tiff,8
1561,38909,86.02325267042627,19,"[1, 1, 0, 0, 0, 0, 0, 1]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14447.tiff,6
1562,38910,86.02325267042627,19,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14023.tiff,8
1563,38911,86.02325267042627,19,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14581.tiff,8
1564,38944,86.05230967266364,19,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14383.tiff,8
1565,38945,86.05230967266364,19,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14611.tiff,8
1566,38946,86.05230967266364,19,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14980.tiff,8
1567,38971,86.09297300012354,19,"[1, 1, 1, 1, 0, 0, 1, 1]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14080.tiff,5
24,48404,99.503768772846,56,"[1, 0, 0, 0, 1, 1, 1, 1]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14112.tiff,7
25,48430,99.60923651951158,56,"[0, 0, 0, 0, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14426.tiff,8
26,48431,99.60923651951158,56,"[0, 0, 0, 0, 0, 0, 1, 1]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14918.tiff,8
27,48432,99.60923651951158,56,"[1, 1, 1, 1, 1, 1, 1, 1]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14617.tiff,5
28,48539,99.72462083156798,56,"[1, 1, 1, 1, 1, 1, 0, 1]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14902.tiff,5
29,48540,99.72462083156798,56,"[0, 1, 1, 1, 1, 1, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14705.tiff,6
30,48541,99.72462083156798,56,"[1, 1, 1, 1, 0, 0, 0, 1]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14270.tiff,5
31,48720,99.98499887483122,56,"[0, 1, 1, 1, 0, 0, 0, 0]",../../../19CS91R05/datasets/Anguli_200k_1M/Impressions/Impression_3/fp_15/14553.tiff,6
